english	chinese
He placed emphasis on the importance of education.	他强调了教育的重要性。
I feel a lot better today.	我今天感觉好多了。
Tom doesn't have a dad.	汤姆没有爸爸。
Tom has no money.	Tom沒有錢。
It's about to rain.	天快要下雨了。
Tom died in his kitchen.	汤姆是在自家厨房里死的。
We were bored.	我们感到厌烦了。
Do you believe in the existence of ghosts?	你相信有幽灵吗？
I know you like sports.	我知道你喜欢体育运动。
The people were evacuated because of the flood.	人们因为洪水被疏散了。
You seem to know everything.	你看起来什么都知道。
I'm terribly hungry.	我肚子饿极了。
I will give you whatever you want.	我會給你任何你想要東西。
I envy you your luck.	我嫉妒你的幸運。
I haven't heard that story yet.	我還沒有聽過那個故事。
Because of the snow, I couldn't see anything.	因为下雪了，我什么也没能看见。
What book are you reading?	你在读哪本书？
Tom bumped his head on the roof of the car.	汤姆把头撞到车顶了。
I wash my hands before eating lunch.	我在吃午饭前洗手。
Kale is considered a superfood.	羽衣甘藍被認為是超級食物。
I would like to meet his father.	我想见见他的父亲。
He sat on the bench.	他坐在長凳上。
Tom was wearing a bulletproof vest, so the bullet didn't kill him.	湯姆穿著一件防彈衣，所以子彈沒把他殺死。
Broccoli is one of the healthiest vegetables.	西藍花是最健康的蔬菜之一。
I went into the navy.	我加入了海軍。
You go to school, don't you?	你去上學，不是嗎?
Do you want another cup of coffee?	你想要另一杯咖啡吗？
These boxes are made of plastic.	這些箱子是由塑料製成的。
May I put it here?	我可以把它放在这儿吗？
You should've been more careful.	你应该更小心的。
What's the name of this tune?	這首曲子叫什麼名字？
How much will it be?	多少錢？
I couldn't sleep.	我無法入睡。
Tom died in a traffic accident.	湯姆死於交通事故。
Do you think this thing is cute?	你覺得這個東西萌嗎？
Her birthday party will be tomorrow evening.	她的生日宴會將在明天晚上。
Are you writing a letter?	你在寫信嗎?
Have you ever seen Tom when he's angry?	你有看见过汤姆生气的时候吗？
Run and hide in the mountains.	跑到山里躲起来。
You can swim, can't you?	你會游泳, 不是嗎？
The car pulled up in front of the bank.	这辆车在银行前面停下来了。
I can understand what she is saying.	我能了解她在說什麼。
You have to come with me.	你必須跟我來。
We celebrated his birthday.	我們為他慶祝了生日。
She was making tea.	她正在泡茶。
I've been waiting here for thirty minutes.	我在这里等了三十分钟。
I'd like a room in the back.	我想要一間後面的房間。
It is rude of him not to give me a call.	他不打電話給我，真沒禮貌。
How much does he earn per month?	他一個月賺多少？
Call home!	打电话回家！
You should try this.	你应该试试这个。
There were so many people.	那里人好多。
They'll be grateful.	他們會感激。
I like apples better than oranges.	相对于橙子，我更喜欢苹果。
Mary likes milk very much.	瑪麗很喜歡牛奶。
He finally got his wish.	他終於如願以償了。
That was the first time I'd seen Tom so angry.	那是我第一次见到汤姆如此生气。
They stepped a few paces forward.	他們前進了幾步。
She looks young, but in reality she's over 40.	她看起来是年轻的，但实际上她四十多岁了。
To tell the truth, I don't like him.	老实说，我不喜欢他。
Where is her house?	她家在哪儿？
I live too far away.	我住得太遠了。
No matter what I do, she says I can do better.	不管我做什么，她都说我能做得更好。
I don't blame you for hitting him.	我不怪你撞到他。
